generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1782495371-X0XQEn8mQe9B0xG9Mpos,2026-06-26 17:36:11.522,0.001904,,-0.001824,,0,24460,99,0,24320,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2266,990,,Inference Model
gen-1782495359-0kvJw1SaQQBZuW85RXli,2026-06-26 17:35:59.096,0.003731,,,,0,24435,110,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,12196,9425,,Inference Model
gen-1782495340-lyj5UzbiqeMTMa5TB4vd,2026-06-26 17:35:40.928,0.003407,,,,0,21159,389,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,18003,4927,,Inference Model
gen-1782495334-mBMjgF8wDBi0dQHBSr07,2026-06-26 17:35:34.041,0.001842,,-0.001766,,0,23617,110,0,23552,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,6374,3175,,Inference Model
gen-1782495328-qmJPQp3boKRNBaSHobpV,2026-06-26 17:35:28.606,0.001824,,-0.001766,,0,23608,82,0,23552,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5302,2747,,Inference Model
gen-1782495323-b70wRSvU1oc9AXTMpuhk,2026-06-26 17:35:23.825,0.003598,,,,0,23583,102,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4572,1406,,Inference Model
gen-1782495304-KkWZdN6MsFD8b1GIV6OK,2026-06-26 17:35:04.851,0.003299,,,,0,20329,417,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,18830,3266,,Inference Model
gen-1782495293-59QTNfl3LP4GT1dChoJ9,2026-06-26 17:34:53.466,0.001781,,-0.001699,,0,22807,100,0,22656,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,10772,9901,,Inference Model
gen-1782495291-TMH5VqeNsxlCWCMJgB3n,2026-06-26 17:34:51.316,0.001779,,-0.001699,,0,22818,94,0,22656,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1876,1210,,Inference Model
gen-1782495288-yXRc6rD4kuVmxODj8nbt,2026-06-26 17:34:48.763,0.003475,,,,0,22773,100,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2340,1305,,Inference Model
gen-1782495276-PttorvxKYJ2pFdB48Xxq,2026-06-26 17:34:36.095,0.003197,,,,0,19539,444,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,12401,3524,,Inference Model
gen-1782495263-z70zyJ263eMpq4K0S4Ov,2026-06-26 17:34:23.388,0.001719,,-0.001641,,0,22030,94,0,21888,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,12527,9924,,Inference Model
gen-1782495261-JB114hkKeaRq0NepnvW6,2026-06-26 17:34:21.253,0.001727,,-0.001641,,0,22030,108,0,21888,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1973,718,,Inference Model
gen-1782495256-2Nv0n1YQoOcaq2lEuMPx,2026-06-26 17:34:16.792,0.003361,,,,0,22005,101,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4258,1762,,Inference Model
gen-1782495242-SAtRYW4til8o7Qy6jV47,2026-06-26 17:34:02.675,0.00309,,,,0,18789,454,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,13726,4364,,Inference Model
gen-1782495237-lbEQzLSHlzmzFO9LwdL2,2026-06-26 17:33:57.355,0.003244,,,,0,21237,99,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5077,1865,,Inference Model
gen-1782495228-Nru5bb4wLEUTZErdG71B,2026-06-26 17:33:48.608,0.002968,,,,0,18039,438,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,8569,3394,,Inference Model
gen-1782495225-017UCw9aNgsQHeGCBTNa,2026-06-26 17:33:45.887,0.003137,,,,0,20511,102,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2486,1199,,Inference Model
gen-1782495217-ZLb76xpvid1bXuJflJRW,2026-06-26 17:33:37.668,0.002869,,,,0,17329,450,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,7890,2604,,Inference Model
gen-1782495214-sM5P1tuE1d2Bnb21ibgF,2026-06-26 17:33:34.303,0.004066,,,,0,26774,84,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3043,1615,,Inference Model
gen-1782495192-Lo0T2nre2bfnFds3eV6v,2026-06-26 17:33:12.321,0.003724,,,,0,23444,347,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,21772,7750,,Inference Model
